city,state,Other Funds - Cash and Securities,Bond Funds - Cash and Securities,Sinking Funds - Cash and Securities,Bond Fund - Cash and Deposits,Employee Retirement - Total Other Securities,Total Federal Securities,Cash and Deposits,Sinking Fund - Cash and Deposits,Other Funds - Cash and Deposits
Traverse-City,Michigan,3921.15,,1.72,,,,,,
Decatur,Arkansas,1605.59,258.10,,,,,,,
St.-Louis,Missouri,1841.87,241.01,31.46,,,,,,
Aspermont,Texas,373.65,,,,,,,,
Cleveland,Oklahoma,346.88,,,,,,,,
Sioux-City,Iowa,766.33,795.25,134.86,,,,,,
Steeleville,Illinois,637.40,,,,,,,,
Fairmont,West-Virginia,1131.17,,438.17,,,,,,
Springfield,Oregon,3331.84,116.34,48.39,,,,,,
Pocatello,Idaho,773.08,60.95,,,,,,,
Long-Branch,New-Jersey,1213.15,454.25,87.10,,,,,,
Absecon,New-Jersey,457.70,,,,,,,,
Bartlett,Illinois,912.44,,,,,,,,
La-Habra,California,986.53,84.66,8.59,,,,,,
Tucumcari,New-Mexico,1292.17,81.57,48.70,,,,,,
Logan,New-Mexico,3152.20,,5701.74,,,,,,
Belleville,Illinois,670.54,,,,,,,,
Tallahassee,Florida,2752.32,211.76,1955.86,,,,,,
San-Luis,Arizona,676.52,,2182.50,,,,,,
Biloxi,Mississippi,1192.37,6.99,533.19,,,,,,
Truth-or-Consequences,New-Mexico,2582.13,,,,,,,,
Oak-Grove,Missouri,1105.35,330.47,36.09,,,,,,
Bowie,Maryland,710.03,353.36,,,,,,,
Stamford,Texas,667.12,15.30,20.74,,,,,,
Kennett,Missouri,843.08,,,,,,,,
Henderson,Nevada,999.75,298.70,24.44,,,,,,
Atlanta,Illinois,308.75,,,,,,,,
Texarkana,Texas,595.26,66.69,36.07,,,,,,
Ocean-City,Maryland,7621.54,2600.95,,,,,,,
Amherst,Ohio,1442.10,,402.98,,,,,,
Collinsville,Illinois,754.83,,,,,,,,
Centerville,Georgia,1060.63,,,,,,,,
Rock-Hill,South-Carolina,525.89,64.59,40.01,,,,,,
Titusville,Florida,965.24,,2.55,,,,,,
Columbus,Ohio,1130.96,611.94,277.89,,,,,,
San-Bernardino,California,688.05,156.03,12.01,,,,,,
Tacoma,Washington,3579.59,445.00,245.98,,,,,,
Muskogee,Oklahoma,,,1128.39,,,,,,
Chadron,Nebraska,857.17,,,,,,,,
Carlsbad,New-Mexico,2677.96,440.46,10.20,,,,,,
Ashland,Oregon,1808.66,,48.17,,,,,,
Aurora,Illinois,802.09,,72.57,,,,,,
Atlantic-City,New-Jersey,2094.14,3085.26,106.06,,,,,,
Harrisburg,Illinois,978.50,,,,,,,,
Prescott-Valley,Arizona,1294.46,71.50,101.06,,,,,,
Riverside,California,517.19,100.11,91.27,,,,,,
Dallas,Georgia,505.11,,,,,,,,
Wyoming,Michigan,768.76,74.18,,,,,,,
Youngstown,Ohio,208.16,,,,,,,,
Cleveland,Texas,238.16,5.46,7.40,,,,,,
Wildwood,New-Jersey,2466.25,2904.81,,,,,,,
Attleboro,Massachusetts,416.72,316.36,,,,,,,
Longview,Texas,725.24,465.88,200.83,,,,,,
Augusta,Maine,2062.04,217.84,,,,,,,
Las-Cruces,New-Mexico,2007.04,575.18,,,,,,,
Irvine,California,2319.71,3564.00,3528.36,,,,,,
Somerdale,New-Jersey,139.68,77.60,,,,,,,
Lake-Orion,Michigan,1130.45,,,,,,,,
New-Bedford,Massachusetts,863.56,174.35,,,,,,,
South-Plainfield,New-Jersey,1347.79,722.89,,,,,,,
Akron,Ohio,980.28,18.85,145.27,,,,,,
New-Berlin,Illinois,1732.18,,,,,,,,
Tye,Texas,1436.61,,,,,,,,
Chattanooga,Tennessee,2499.35,465.95,513.86,,,,,,
Medford,Oregon,1852.04,163.75,6757.66,,,,,,
Iowa-City,Iowa,1970.07,780.51,660.58,,,,,,
Frederick,Maryland,1080.64,185.66,,,,,,,
Springfield,Massachusetts,874.48,118.84,,,,,,,
Red-Bank,New-Jersey,,,58.50,,,,,,
Quincy,Illinois,832.86,,,,,,,,
Glassboro,New-Jersey,1047.47,112.43,,,,,,,
Waterville,Maine,480.61,,,,,,,,
Harrison,Arkansas,923.70,,,,,,,,
Gulfport,Mississippi,1672.09,170.31,161.54,,,,,,
Bergenfield,New-Jersey,510.67,125.74,,,,,,,
Chicopee,Massachusetts,1798.86,356.76,,,,,,,
South-Charleston,West-Virginia,248.11,,,,,,,,
Carson-City,Nevada,675.19,70.09,1707.67,,,,,,
Milton,Georgia,338.14,,,,,,,,
Council-Bluffs,Iowa,1384.07,,38.85,,,,,,
Throop,Pennsylvania,2246.92,,,,,,,,
Hampton,Virginia,1529.99,409.87,114.82,,,,,,
La-Grande,Oregon,1436.10,,,,,,,,
Madras,Oregon,748.40,,46.94,,,,,,
Waterbury,Connecticut,392.98,,57.15,,,,,,
Portland,Maine,2895.19,453.95,80.25,,,,,,
Johnson-City,Tennessee,1672.03,322.12,2658.76,,,,,,
Easthampton,Massachusetts,752.27,31.24,,40.92,,,331.97,,
Georgetown,Delaware,577.95,151.66,315.22,,,,,,
Clovis,New-Mexico,1101.96,1.02,,,,,,,
Newark,California,955.03,603.61,27.67,,,,,,
Honolulu,Hawaii,6638.28,684.39,954.28,,,,,,
Corinth,Mississippi,7169.98,,449.63,,,,,,
Lufkin,Texas,898.32,,2948.00,,,,,,
Altus,Oklahoma,745.12,,932.54,,,,,,
Philadelphia,Pennsylvania,1422.19,35.69,45.66,,,,,,
Seattle,Washington,2343.63,503.90,293.42,,,,,,
San-Angelo,Texas,1016.87,1291.40,50.86,,,,,,
Milwaukee,Wisconsin,409.82,80.71,1628.44,,,,,,
Nacogdoches,Texas,1482.86,44.74,86.57,,,,,,
Mill-Valley,California,689.25,401.99,39.69,,,,,,
Allentown,New-Jersey,833.24,201.13,,,,,,,
Cameron,Missouri,1253.60,,,,,,,,
Trenton,Georgia,311.48,454.67,,,,,,,
Woodward,Oklahoma,526.28,659.10,102.63,,,,,,
Carbondale,Colorado,2156.42,,30.15,,,,,,
Columbus,Nebraska,1885.55,,,,,,,,
Miami-Beach,Florida,7293.39,3766.42,85.20,,,,,,
St.-George,Utah,1217.73,390.72,176.93,,,,,,
Scranton,Pennsylvania,503.22,,10.45,,,,,,
Spearfish,South-Dakota,2259.02,,23.90,,,,,,
Highland,Indiana,979.30,303.06,111.71,,,,,,
Caribou,Maine,993.55,,,,,,,,
Marfa,Texas,2624.00,478.77,128.00,,,,,,
Anchorage,Alaska,2125.59,155.96,183.80,,,,,,
Bentonville,Arkansas,1608.90,532.48,123.04,,,,,,
Blacksburg,Virginia,,,990.55,,,,,,
Lynchburg,Virginia,1081.48,850.11,,,,,,,
Fruitland-Park,Florida,260.11,,,,,,,,
Paterson,New-Jersey,132.44,,35.01,,,,,,
Albuquerque,New-Mexico,991.28,16.86,617.06,,,,,,
Beach-Park,Illinois,599.74,,,,,,,,
Janesville,Wisconsin,9.51,,,,,,,,
Jackson,Tennessee,316.41,,610.97,,,,,,
Melbourne,Arkansas,,,267.67,,,,,,
Valdosta,Georgia,217.60,,28.59,,,,,,
Meadow,Utah,1384.15,,,,,,,,
Merced,California,2213.66,38.34,47.90,,,,,,
Billings,Montana,2328.70,,208.09,,,,,,
Fort-Myers,Florida,2057.25,371.80,33.72,,,,,,
Greenville,Mississippi,234.21,,,,,,,,
Portland,Oregon,1862.30,326.12,443.76,,,,,,
Bellmawr,New-Jersey,467.21,,,,,,,,
Lubbock,Texas,1116.68,886.64,527.14,,,,,,
Charlotte,North-Carolina,28.84,,,,,,,,
Dalton,Georgia,7223.76,202.70,3811.50,,,,,,
Dothan,Alabama,1265.18,246.59,8.70,,,,,,
Vermillion,South-Dakota,1768.63,,424.95,,,,,,
Millbrook,Alabama,302.09,195.33,13.65,,,,,,
Worcester,Massachusetts,849.90,178.98,111.95,,,,,,
Montgomery,Alabama,494.71,,28.80,,,,,,
West-Haven,Connecticut,276.00,,,,,,,,
Brooklyn,Ohio,2177.25,283.86,7.89,,,,,,
Rockford,Illinois,514.10,,,,,,,,
Waterloo,Iowa,1432.63,380.63,68.47,,,,,,
Hopkinsville,Kentucky,340.74,103.00,3748.21,,,,,,
Gainesville,Florida,2456.64,,37.31,,,,,,
Lake-Wales,Florida,529.03,,73.04,,,,,,
New-Castle,Delaware,588.28,351.26,17.43,,,,,,
Greenville,South-Carolina,1534.76,246.70,334.52,,,,,,
Richmond,Virginia,2211.16,25.70,34.57,,,,,,
Missoula,Montana,454.21,9.45,27.84,,,,,,
Denver,Colorado,3778.16,659.74,363.37,,,,,,
Altoona,Pennsylvania,354.00,206.90,,,,,,,
Milford,Delaware,3339.92,,,,,,,,
Queen-City,Texas,122.56,,62.67,,,,,,
Oacoma,South-Dakota,5144.37,,,,,,,,
Des-Plaines,Illinois,1496.26,,91.50,,,,,,
Bismarck,North-Dakota,1944.96,,338.49,,,,,,
Upper-Marlboro,Maryland,2401.19,,,,,,,,
Redding,California,619.09,38.24,38.50,,,,,,
Atlanta,Georgia,4457.87,622.09,550.38,,,,,,
Norman,Oklahoma,2916.63,721.19,197.59,,,,,,
Indio,California,809.40,11.02,174.00,,,,,,
Adrian,Michigan,1212.67,,,,,,,,
Clayton,New-Mexico,919.43,,,,,,,,
Rome,Georgia,1403.34,169.82,80.51,,,,,,
Laurel,Delaware,141.87,,,,,,,,
Sweetwater,Texas,1449.52,477.60,,,,,,,
Decatur,Illinois,784.54,,,,,,,,
Midland,Michigan,1948.90,,,,,,,,
Manassas,Virginia,1981.99,108.99,1180.99,,,,,,
Brunswick,Georgia,1113.62,,,,,,,,
Talladega,Alabama,763.02,311.57,7.31,,,,,,
Parkersburg,West-Virginia,1001.02,210.54,,,,,,,
Mason,Tennessee,466.36,,,,,,,,
Mount-Zion,Illinois,572.39,,,,,,,,
Great-Falls,Montana,1082.33,,131.26,,,,,,
Kearney,Nebraska,527.21,,,,,,,,
Portland,Texas,1031.21,217.22,139.10,,,,,,
Weirton,West-Virginia,707.76,,758.84,,,,,,
Chandler,Oklahoma,1424.64,,107.94,,,,,,
Glenview,Illinois,1962.14,,,,,,,,
Davenport,Iowa,815.60,266.52,708.31,,,,,,
Pittsburg,Kansas,724.24,230.67,1285.79,,,,,,
Tazewell,Virginia,188.84,,,,,,,,
Elizabeth,New-Jersey,1542.69,,,,,,,,
Norfolk,Nebraska,1587.18,,76.89,,,,,,
Fayetteville,Arkansas,1560.53,379.69,332.50,,,,,,
West-Des-Moines,Iowa,2244.91,1208.74,23.23,,,,,,
Hardeeville,South-Carolina,856.00,,784.14,,,,,,
Rochester,New-Hampshire,1211.79,,,,,,,,
Memphis,Tennessee,1148.58,393.04,574.92,,,,,,
Goshen,Indiana,1080.05,51.49,1332.99,,,,,,
Columbia,South-Carolina,2897.31,754.55,41.23,,,,,,
Huntingburg,Indiana,3500.16,63.86,377.80,,,,,,
San-Fernando,California,1014.84,2.67,,,,,,,
Michigan-City,Indiana,2067.32,186.07,648.88,,,,,,
Rapid-City,South-Dakota,2409.22,,,,,,,,
Yankton,South-Dakota,1662.01,,274.05,,,,,,
Bozeman,Montana,1573.72,122.25,97.29,,,,,,
Peoria,Arizona,1710.36,342.23,553.61,,,,,,
San-Augustine,Texas,267.48,,31.25,,,,,,
Hartford,Wisconsin,,,109.74,,,,,,
Morgantown,West-Virginia,933.61,48.71,58.50,,,,,,
Mason,Texas,462.47,,,,,,,,
Kalamazoo,Michigan,937.77,57.91,4458.90,,,,,,
Siren,Wisconsin,2421.19,1006.46,182.17,,,,,,
Martinsville,Illinois,2638.79,,,,,,,,
Colorado-Springs,Colorado,849.82,225.32,15.29,,,,,,
West-Dundee,Illinois,972.27,,,,,,,,
Spirit-Lake,Iowa,1514.26,,37.63,,,,,,
Wheatland,Wyoming,1589.54,,,,,,,,
Savannah,Georgia,3477.92,329.26,55.90,,,,,,
Haledon,New-Jersey,75.24,,4.34,,,,,,
Sarasota,Florida,3126.86,16.42,22.15,,,,,,
Sunray,Texas,73.40,,,,,,,,
Providence,Rhode-Island,1218.35,5.83,,,,,,,
Troutdale,Oregon,793.86,,,,,,,,
Texarkana,Arkansas,456.69,,54.69,,,,,,
Flint,Michigan,3539.95,,246.52,,,,,,
Greensboro,North-Carolina,0.21,,,,,,,,
Oakley,Kansas,955.18,,5.78,,,,,,
Chula-Vista,California,551.90,346.52,2283.55,,,,,,
McAllen,Texas,1266.33,493.56,38.24,,,,,,
Baltimore,Maryland,2544.07,2.60,,,,,,,
Willowick,Ohio,395.39,139.03,,,,,,,
Steamboat-Springs,Colorado,5299.38,332.83,399.88,,,,,,
Beaumont,Texas,742.49,418.79,27.15,,,,,,
Edmond,Oklahoma,1379.41,1937.41,508.35,,,,,,
Okawville,Illinois,443.38,,,,,,,,
Alpena,Michigan,1007.13,,17.08,,,,,,
Twin-Falls,Idaho,1149.83,,,,,,,,
Covington,Kentucky,460.18,72.48,1509.63,,,,,,
Windsor,Colorado,951.90,,,,,,,,
New-Haven,Michigan,727.74,,,,,,,,
Enid,Oklahoma,1220.50,388.79,29.10,,,,,,
Pittsburgh,Pennsylvania,1250.18,273.17,111.07,,,,,,
Bangor,Maine,1658.20,171.53,,,,,,,
Springfield,Missouri,2953.04,279.38,521.25,,,,,,
Woonsocket,Rhode-Island,1618.52,27.57,,,,,,,
Marianna,Arkansas,209.58,,131.39,,,,,,
Jackson,Mississippi,843.90,63.98,69.17,,,,,,
Chillicothe,Ohio,460.09,,,,,,,,
Bedford,Virginia,3015.46,,211.01,,,,,,
Covington,Tennessee,3432.87,5.55,72.11,,,,,,
Buffalo,New-York,1425.43,227.23,61.83,,,,,,
Evansville,Indiana,612.31,1525.49,101.21,,,,,,
Alton,Texas,80.97,,6.13,,,,,,
Arlington-Heights,Illinois,1663.90,,,,,,,,
Howell,Michigan,837.36,,,,,,,,
El-Campo,Texas,727.88,,21.15,,,,,,
Cranston,Rhode-Island,600.89,14.67,,,,,,,
Sayreville,New-Jersey,858.85,348.74,,,,,,,
Sedona,Arizona,3400.14,,543.57,,,,,,
West-Park,Florida,473.06,,,,,,,,
Mobile,Alabama,818.36,31.43,120.20,,,,,,
Oak-Grove,Kentucky,733.20,,,,,,,,
Chubbuck,Idaho,1594.37,,10.78,,,,,,
San-Diego,California,921.20,524.52,62.38,,,,,,
Lemont,Illinois,551.10,,,,,,,,
Huntsville,Alabama,1412.74,681.94,338.63,,,,,,
Lake-City,South-Carolina,1994.61,408.80,,,,,,,
Bakersfield,California,159.39,307.93,1077.86,,,,,,
Lancaster,Pennsylvania,480.38,165.75,0.02,,,,,,
Jersey-City,New-Jersey,564.48,214.87,38.16,,,,,,
Victorville,California,1046.51,38.61,37.18,,,,,,
El-Paso,Texas,302.79,726.25,269.29,,,,,,
Boonville,Missouri,1557.53,12.32,,,,,,,
Salem,Oregon,890.45,434.94,3221.19,,,,,,
Sault-Ste.-Marie,Michigan,1652.46,,,,,,,,
New-Brunswick,New-Jersey,423.14,4111.11,640.98,,,,,,
Sealy,Texas,567.64,1127.21,38.94,,,,,,
Minneapolis,Minnesota,1843.63,,4834.85,,,,,,
Fair-Haven,New-Jersey,1050.56,,,,,,,,
Reno,Nevada,456.64,80.27,742.47,,,,,,
New-Castle,Pennsylvania,387.13,4.07,0.09,,,,,,
Albany,Georgia,2244.53,,,,,,,,
Visalia,California,1269.96,384.93,7.81,,,,,,
Hartford,Connecticut,885.77,68.94,0.74,,,,,,
Windsor,Missouri,961.57,80.10,30.53,,,,,,
New-Haven,Connecticut,684.06,412.62,116.88,,,,,,
Ocala,Florida,3616.44,,45.88,,,,,,
Fort-Myers-Beach,Florida,701.86,,,,,,,,
New-York,New-York,2579.48,205.36,2539.64,,,,,,
Williamsport,Ohio,839.85,,,,,,,,
Blackwell,Oklahoma,888.30,1244.44,62.48,,,,,,
Fortuna,California,3840.36,230.36,111.27,,,,,,
Miami,Florida,1081.81,318.89,100.23,,,,,,
Herrin,Illinois,568.53,0.63,,,,,,,
Grand-Forks,North-Dakota,1346.42,36.78,4660.86,,,,,,
Macon,Georgia,104.47,60.32,61.35,,367.86,293.23,,,
Alexandria,Virginia,2949.27,1465.71,668.89,,,,,,
Odessa,Texas,1204.57,490.20,72.26,,,,,,
Jonesboro,Arkansas,2802.33,,3457.09,,,,,,
Callaway,Florida,945.02,,,,,,,,
Fresno,California,422.84,21.64,338.14,,,,,,
Battle-Creek,Michigan,1107.35,109.82,,,,,,,
West-Jordan,Utah,22.79,139.03,,,,,,,
Greenville,North-Carolina,1365.70,61.27,39.40,,,,,,
Fort-Wayne,Indiana,910.63,75.86,190.49,,,,,,
Houston,Texas,1246.17,402.51,1179.56,,,,,,
Nampa,Idaho,646.50,174.42,42.85,,,,,,
Santa-Fe,New-Mexico,2728.26,53.14,98.13,,,,,,
Chicago,Illinois,1624.85,806.72,978.18,,,,,,
Ironton,Ohio,625.05,1.52,3.32,,,,,,
Alexandria,Kentucky,153.99,,,,,,,,
Harlingen,Texas,553.98,211.07,135.60,,,,,,
Jefferson-City,Missouri,1219.82,143.65,666.15,,,,,,
St.-Cloud,Minnesota,762.22,,2939.25,,,,,,
Cedar-Rapids,Iowa,2921.58,205.96,562.85,,,,,,
Kane,Pennsylvania,329.66,138.71,,,,,,,
Champaign,Illinois,1050.13,,,,,,,,
Fredericksburg,Virginia,2665.31,1497.59,7193.11,,,,,,
Farmington,New-Mexico,3123.68,12129.23,20871.00,,,,,,
Bend,Oregon,1682.07,118.81,62.27,,,,,,
Virginia-Beach,Virginia,1072.98,759.25,698.71,,,,,,
Eagar,Arizona,462.05,,,,,,,,
Flora,Illinois,1841.30,,,,,,,,
Panama-City,Florida,3160.50,509.30,48.17,,,,,,
Marquette,Michigan,3660.30,,415.10,,,,,,
Coos-Bay,Oregon,1254.02,,347.78,,,,,,
Cumberland,Maryland,734.29,8.87,,,,,,,
Rancho-Mirage,California,5715.89,144.48,825.13,,,,,,
Garden-City,Kansas,1447.21,,7194.79,,,,,,
Alexandria,Louisiana,1736.25,25.08,4098.90,,,,,,
Dover,New-Jersey,490.61,338.34,,,,,,,
Santa-Clarita,California,1289.12,10.60,8.28,,,,,,
Heyworth,Illinois,418.56,,,,,,,,
Southaven,Mississippi,432.02,,44.71,,,,,,
Spokane,Washington,1585.20,456.79,39.08,,,,,,
Roanoke,Virginia,640.74,107.77,299.91,,,,,,
Neptune-City,New-Jersey,384.46,24.37,,,,,,,
Chesapeake,Virginia,1661.02,929.22,152.12,,,,,,
Winchester,Virginia,2799.77,786.24,209.81,,,,,,
Eufaula,Alabama,210.61,,28.18,,,,,,
Santa-Maria,California,2167.44,157.17,2.59,,,,,,
Richland,Missouri,904.18,,,,,,,,
Newport-News,Virginia,1368.15,207.23,5723.80,,,,,,
Pine-Hill,New-Jersey,587.02,2.30,,,,,,,
Dunbar,West-Virginia,211.48,,,,,,,,
Lafayette,Louisiana,5146.08,0.94,180.66,,,,,,
Dubuque,Iowa,1387.72,262.02,,,,,,,
Charleston,West-Virginia,1898.14,,245.83,,,,,,
Shreveport,Louisiana,368.82,171.56,1758.78,,,,,,
West-Plains,Missouri,108.99,,19.67,,,,,,
Abilene,Texas,1030.94,524.77,18.01,,,,,,
Bridgeport,West-Virginia,5492.76,,,,,,,,
Clementon,New-Jersey,555.38,,,,,,,,
Beaumont,California,424.03,929.95,,,,,,,
Dayton,Ohio,2090.37,135.31,182.30,,,,,,
Norfolk,Virginia,1881.95,63.80,502.34,,,,,,
Manchester,New-Hampshire,1898.57,129.57,,,,,,,
Harahan,Louisiana,232.97,,73.08,,,,,,
Bettendorf,Iowa,541.42,224.67,,,,,,,
Dayton,Kentucky,592.44,114.99,915.85,,,,,,
New-Iberia,Louisiana,588.99,,,,,,,,
Charleston,Illinois,411.39,,,,,,,,
Canyon,Texas,634.31,,,,,,,,
Logan,Utah,2361.74,348.63,21.23,,,,,,
Dodge-City,Kansas,736.50,511.22,4804.57,,,,,,
Hephzibah,Georgia,3290.31,,,,,,,,
Osseo,Wisconsin,2708.83,,37.59,,,,,,
Boulder,Colorado,2182.88,352.23,139.96,,,,,,
Anaheim,California,788.70,315.90,2462.20,,,,,,
Kingsport,Tennessee,920.69,1188.82,14.30,,,,,,
Fairview-Heights,Illinois,832.73,,,,,,,,
Austin,Indiana,271.98,25.74,177.51,,,,,,
Brawley,California,1492.01,160.90,,,,,,,
Center,Texas,1723.29,476.91,31.50,,,,,,
Big-Lake,Texas,1811.70,,,,,,,,
Marion,Illinois,957.99,,215.98,,,,,,
Marina,California,1203.77,285.06,38.72,,,,,,
Westbrook,Maine,2935.15,1144.75,126.40,,,,,,
Escanaba,Michigan,2508.72,,,,,,,,
Rayville,Louisiana,665.23,32.82,62.75,,,,,,
Bargersville,Indiana,,,238.61,,,,,,
Knoxville,Tennessee,3297.80,,1168.39,,,,,,
Eureka,California,1182.29,,,,,,,,
Roswell,New-Mexico,1042.59,,16.55,,,,,,
Casper,Wyoming,2408.85,628.90,21.70,,,,,,
Elizabethtown,Kentucky,1767.77,,92.24,,,,,,
Bloomfield,Indiana,589.13,679.57,130.43,,,,,,
Monroe,Louisiana,1629.02,,1488.67,,,,,,
Sedalia,Missouri,4285.17,,2.82,,,,,,
Houghton,Michigan,682.36,34.82,,,,,,,
International-Falls,Minnesota,234.73,,,,,,,,
Harrisonburg,Virginia,1687.11,509.04,,,,,,,
