city,state,Long Term Debt - Beginning Outstanding - Unspecified Public Purpose,Outstanding Unspecified Public Purpose,Retired Unspecified Public Purpose,Long Term Debt - Outstanding Unspecified Public Purpose,Beginning Outstanding - Unspecified Public Purpose,Retired Nonguaranteed - Public Debt for Private Purpose,Beginning Outstanding - Public Debt for Private Purpose,"Issue, Unspecified Public Purpose",Short Term Debt Outstanding - Beginning,End of Fiscal Year,Outstanding Nonguaranteed - Industrial Revenue,"Issue, Nonguaranteed - Public Debt for Private Purpose",Long Term Debt - Beginning Outstanding - Public Debt for Private Purpose,Short Term Debt Outstanding - End of Fiscal Year,Beginning,Long Term Debt - Outstanding Nonguaranteed - Industrial Revenue,Long Term Debt - Retired Unspecified Public Purpose,Beginning Outstanding - Other,Outstanding Nonguaranteed - Other - Other,Outstanding - Full Faith and Credit - Other - Other,Beginning Outstanding - Gas Utilities,Outstanding - Full Faith and Credit - Gas Utilities,Offsets - Nonguaranteed,Issue - Full Faith and Credit - Gas Utilities,Retired Nonguaranteed - Other - Other,Beginning Outstanding - Industrial Revenue,Offsets - Full Faith and Credit,"Issue, Nonguaranteed - Other - Other",Refunded - Issued,Refunded - Retired,Issue - Full Faith and Credit - Other - Other,Retired - Full Faith and Credit - Other - Other,Outstanding - Full Faith and Credit - Transit Utilities,Retired Nonguaranteed - Industrial Revenue,Beginning Outstanding - Transit Utilities,Issue - Full Faith and Credit - Transit Utilities,Retired - Full Faith and Credit - Gas Utilities,Retired - Full Faith and Credit - Transit Utilities,"Issue, Unspecified - Other - Other","Long Term Debt - Issue, Unspecified Public Purpose",Retired Unspecified - Other - Other,Beginning Outstanding - Water Utilities,Outstanding Nonguaranteed - Water Utilities,"Beginning Outstanding, Education - Other",Outstanding - Full Faith and Credit - Elementary and Secondary Education,Retired Unspecified - Elementary and Secondary Education,Retired Unspecified - Water Utilities
Hattiesburg,Mississippi,,,174.50,2346.99,2325.69,21.80,543.03,,,,521.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San-Francisco,California,,,2770.40,20740.86,16225.80,,,6279.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concord,New-Hampshire,1057.56,858.73,198.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marion,Arkansas,,1824.37,130.14,,542.97,749.39,,1411.45,,,14335.50,,15084.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan,Wyoming,,,56.24,1105.24,847.32,,,314.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winston-Salem,North-Carolina,,,270.02,3487.93,3161.94,,,596.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntley,Illinois,1425.55,523.17,1016.78,,,,381.48,114.37,,,381.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilkes-Barre,Pennsylvania,,,874.82,1791.44,1653.41,,,1012.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,Kentucky,1154.56,1055.16,99.65,,,,,,87.88,41.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnesville,Ohio,529.51,529.51,,,,1.50,84.04,,,,82.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menasha,Wisconsin,,,1118.28,3642.98,3247.75,,,1513.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defiance,Ohio,2539.56,2424.55,210.77,,,,,95.77,,,,,,140.07,132.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hazleton,Pennsylvania,338.15,298.58,39.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West-Columbia,South-Carolina,,,175.24,2545.06,2442.49,90.40,2086.40,277.81,,,1996.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lima,Ohio,3031.40,3020.62,133.28,,,,,122.53,120.27,102.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth-City,North-Carolina,270.29,246.18,60.73,,,,,36.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotati,California,1090.42,1036.44,53.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland,Ohio,6322.39,6000.53,994.91,,,,,673.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spokane-Valley,Washington,210.22,192.46,17.87,,,,,0.11,,,,,,,,,,,,93.31,,,,,,,,,,,,,,,,,,,93.31,,,,,,,,
Redwood-City,California,1099.45,966.42,206.35,,,21.06,171.72,73.32,,,150.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durant,Oklahoma,1794.84,1564.02,230.81,,,6.69,62.60,,,,55.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starkville,Mississippi,966.05,856.78,109.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baton-Rouge,Louisiana,8154.39,8002.94,186.15,,,140.00,2584.35,34.70,,,2444.34,,,5.31,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benton-City,Washington,,,51.22,680.40,624.03,,,107.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East-Chicago,Indiana,,,33.43,3264.05,2788.80,,,508.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orlando,Florida,4319.30,3256.39,1881.24,,,,,818.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hot-Springs,Arkansas,,,776.17,2768.77,2618.32,,,926.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dupont,Pennsylvania,131.20,112.19,21.62,,,,,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockford,Michigan,450.95,359.26,91.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warren,Arkansas,25.95,17.72,8.23,,,,,,44.57,36.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tustin,California,2149.03,1985.82,163.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russell-Springs,Kentucky,1071.27,1029.95,78.09,,,,,36.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hurley,New-Mexico,150.51,141.16,9.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa-Barbara,California,3314.07,3193.47,120.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eugene,Oregon,,,245.86,1764.69,1758.47,,,252.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumas,Texas,1626.53,1542.27,84.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton,Texas,1977.42,1840.97,136.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler,Texas,518.95,488.62,30.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prescott,Arizona,2233.10,2111.47,217.07,,,,,95.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San-Jacinto,California,580.66,532.81,47.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little-Rock,Arkansas,2505.23,2488.29,410.78,,,13.82,499.23,393.85,,,485.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grants-Pass,Oregon,,,59.71,593.14,206.94,,,445.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tampa,Florida,,1699.63,98.31,,1828.94,28.10,2362.36,50.04,,,,288.60,,,,2622.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria,Texas,2421.17,2216.81,341.10,,,24.57,24.57,136.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewiston,Idaho,65.57,53.98,11.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pawtucket,Rhode-Island,,,139.40,2475.51,2328.01,,,286.89,,,,,,311.58,282.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saginaw,Michigan,1116.74,1030.14,93.80,,,20.78,189.13,7.15,,,168.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schaumburg,Illinois,7030.51,6790.06,348.72,,,9.22,90.39,108.28,,,81.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilmington,North-Carolina,,,90.71,1555.83,1501.00,,,145.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texline,Texas,,,,599.26,519.48,,,79.78,115.03,72.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalispell,Montana,,,124.16,988.97,765.93,,,347.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin,Texas,5301.01,4235.22,1065.79,,,15.12,209.72,,,,194.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milledgeville,Georgia,330.14,282.83,47.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hopatcong,New-Jersey,3052.23,2664.53,1479.98,,,,,1092.27,,,,,,388.41,316.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic-Highlands,New-Jersey,4317.40,3997.70,319.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portage,Michigan,1365.76,1192.54,173.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joplin,Missouri,737.38,654.75,87.70,,,,,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Des-Moines,Iowa,2477.72,2439.28,617.59,,,,,580.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San-Jose,California,,,747.98,2593.45,2346.64,,439.21,634.27,,,938.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulsa,Oklahoma,3175.75,2994.41,508.82,,,,374.87,327.48,,,383.26,8.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amarillo,Texas,1786.65,1691.38,95.27,,,,52.49,,,,52.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cary,Illinois,401.95,347.60,54.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waukegan,Illinois,4164.90,4106.20,588.37,,,14.60,244.00,529.68,,,229.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lady-Lake,Florida,88.51,32.08,59.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bemidji,Minnesota,4061.49,3883.63,3249.00,,,,,3071.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newport,Rhode-Island,7052.68,6628.01,424.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison,Indiana,,,,1568.16,1568.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort-Stockton,Texas,1756.92,1642.92,114.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hobbs,New-Mexico,713.68,672.06,41.62,,,,306.07,,,,306.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall,Minnesota,,,1232.67,6770.22,6719.43,,,1283.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denison,Iowa,1417.76,1264.92,247.82,,,,,94.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort-Pierce,Florida,3073.88,1975.95,238.29,,,,200.38,76.68,,,200.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spartanburg,South-Carolina,5017.35,4985.64,1384.15,,,39.52,135.97,1352.44,,,164.63,68.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decorah,Iowa,810.59,638.20,172.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain-Home,Arkansas,,270.35,91.02,,361.37,,,,,,511.42,,511.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarksville,Indiana,2805.13,2624.87,180.30,,,,,,9.00,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florence,Alabama,2376.40,2194.82,915.46,,,,,733.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bristol,Virginia,,,4333.55,6513.12,6367.80,,,4478.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holyoke,Massachusetts,,,131.52,2000.60,1903.56,,,228.58,259.24,87.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort-Smith,Arkansas,,2906.04,213.79,,3119.83,2059.90,,,,,3297.19,,5357.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paducah,Kentucky,7249.55,6926.40,328.25,,,,,5.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallington,New-Jersey,764.51,726.14,38.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walnut,California,1031.94,967.09,64.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen,Washington,950.29,880.34,126.82,,,,,56.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markham,Illinois,3217.15,3068.54,148.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carthage,Missouri,2138.55,1951.04,187.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix,Arizona,,,695.29,3463.64,3440.66,10.09,1154.47,649.86,,,1144.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingman,Arizona,1093.41,1007.35,86.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durham,North-Carolina,,,242.82,1533.89,1179.94,,11.23,596.78,,,49.79,38.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las-Vegas,New-Mexico,1284.46,1153.19,148.23,,,,1253.66,16.95,52.71,50.39,1253.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key-West,Florida,883.70,763.99,73.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corpus-Christi,Texas,4937.46,4632.24,589.01,,,11.95,187.28,283.79,,,175.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El-Dorado,Arkansas,748.40,709.31,39.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spencer,Iowa,4119.98,4071.49,577.98,,,,,529.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twentynine-Palms,California,452.35,441.64,10.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felton,Delaware,168.32,157.71,10.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wichita-Falls,Texas,1785.67,1655.72,129.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West-Chicago,Illinois,,,76.82,1434.89,1391.63,96.96,503.54,120.08,,,406.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corbin,Kentucky,,,93.86,5239.10,4548.46,,,784.50,39.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kennewick,Washington,971.82,880.09,187.44,,,,,95.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vallejo,California,880.87,820.01,63.98,,,7.35,223.79,3.12,,,216.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wenatchee,Washington,1112.72,1028.03,85.68,,,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachse,Texas,1587.96,1551.49,36.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Union-City,Tennessee,1225.08,1138.89,86.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crockett,Texas,1031.48,334.06,697.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coldwater,Michigan,3116.09,3003.27,212.53,,,,,99.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West-Palm-Beach,Florida,,,288.86,4438.51,4038.44,,,1225.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moses-Lake,Washington,1243.63,1068.63,207.51,,,,,32.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tallulah,Louisiana,3805.73,3651.07,154.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary,Indiana,,,,1026.19,1026.19,4.74,90.81,,6.41,,86.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stratford,Texas,491.98,429.27,62.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fargo,North-Dakota,,,967.42,5716.98,5494.52,,885.52,1189.87,,,885.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickinson,North-Dakota,3706.52,3340.68,425.45,,,,,59.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boone,North-Carolina,,,1650.28,1650.28,1650.28,,,1650.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eden,Texas,,,,957.50,957.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia,Missouri,2954.25,2857.53,341.70,,,1.19,9.92,244.98,,,8.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Convoy,Ohio,,,,512.75,512.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South-San-Francisco,California,702.58,617.28,85.29,,,,96.18,,,,96.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green-Bay,Wisconsin,2510.49,2496.94,483.25,,,,,469.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockwall,Texas,2725.64,2467.49,258.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stockton,California,2880.69,2695.62,185.07,,,9.22,285.15,,,,275.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pensacola,Florida,3815.44,2977.03,1344.11,,,,,505.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palm-Springs,California,4600.79,4357.06,480.65,,,,,236.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ames,Iowa,3345.91,3257.58,310.48,,,,,222.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poplar-Bluff,Missouri,974.61,930.51,44.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowling-Green,Kentucky,1273.95,1177.18,146.82,,,,,50.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocola,Oklahoma,166.46,138.80,27.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pendleton,Oregon,,,156.29,2428.08,1992.55,,,591.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rogers,Arkansas,1712.85,1441.12,271.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand-Rapids,Michigan,2648.32,2611.51,267.33,,,11.25,738.66,230.51,,,727.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weatherford,Oklahoma,1295.25,1153.87,156.20,,,,,14.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gruver,Texas,103.08,59.03,44.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-London,Connecticut,1669.34,1500.30,169.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gladstone,Missouri,,,263.89,1430.86,1308.96,36.45,214.52,385.79,,,196.81,18.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia,Louisiana,2418.03,2366.12,51.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lancaster,California,1480.86,1464.46,526.90,,,,18.37,510.50,,,18.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willmar,Minnesota,2745.18,2468.57,388.44,,,220.04,2368.46,111.88,,,2475.51,327.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisville,Kentucky,,1841.08,341.88,,1936.99,40.37,3453.21,182.18,,,3439.51,,7787.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort,South-Carolina,1360.38,1306.42,102.78,,,,,48.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claremont,New-Hampshire,1926.62,1754.02,172.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert-Lee,Texas,41.98,36.26,5.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma-City,Oklahoma,,,253.19,2975.64,2765.18,,,463.66,54.87,19.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South-Sioux-City,Nebraska,,640.57,104.61,,574.60,114.61,2199.16,170.58,76.90,,,221.02,,,,2305.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairmont,Minnesota,1785.84,1541.87,538.09,,,,299.10,294.12,,,299.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killeen,Texas,1667.35,1575.20,92.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monterey,California,,,94.12,3460.25,3419.44,,,134.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port-St.-Lucie,Florida,3997.48,3664.20,802.71,,,,,484.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrisburg,Pennsylvania,2006.82,1763.92,276.02,,,,,33.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lafayette,Indiana,2712.37,2708.98,3.39,,,,,,,,,,,3.50,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murphy,North-Carolina,280.02,260.11,19.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leesburg,Virginia,2501.00,2359.35,151.99,,,,,10.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easton,Maryland,1696.30,1526.90,169.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poughkeepsie,New-York,,,157.79,1835.29,1653.81,3.90,109.85,339.28,563.62,336.16,105.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muscatine,Iowa,,,140.62,2182.68,1098.01,,,1225.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffeyville,Kansas,8635.36,8423.07,212.29,,,,646.58,,,,646.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lansing,Michigan,4588.72,4382.68,297.87,,,15.52,195.58,91.83,,,180.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus,Indiana,2337.55,2337.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas-City,Kansas,7916.88,7112.34,804.54,,,154.23,3090.66,,,,2936.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paris,Illinois,1923.96,1833.43,90.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darlington,South-Carolina,,821.04,303.37,,275.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848.32,,,,,,,
