city,state,Long Term Debt - Beginning Outstanding - Unspecified Public Purpose,Outstanding Unspecified Public Purpose,Retired Unspecified Public Purpose,Long Term Debt - Outstanding Unspecified Public Purpose,Beginning Outstanding - Unspecified Public Purpose,Retired Nonguaranteed - Public Debt for Private Purpose,Beginning Outstanding - Public Debt for Private Purpose,"Issue, Unspecified Public Purpose",Short Term Debt Outstanding - Beginning,End of Fiscal Year,Outstanding Nonguaranteed - Industrial Revenue,"Issue, Nonguaranteed - Public Debt for Private Purpose",Long Term Debt - Beginning Outstanding - Public Debt for Private Purpose,Short Term Debt Outstanding - End of Fiscal Year,Beginning,Long Term Debt - Outstanding Nonguaranteed - Industrial Revenue,Long Term Debt - Retired Unspecified Public Purpose,Beginning Outstanding - Other,Outstanding Nonguaranteed - Other - Other,Outstanding - Full Faith and Credit - Other - Other,Beginning Outstanding - Gas Utilities,Outstanding - Full Faith and Credit - Gas Utilities,Offsets - Nonguaranteed,Issue - Full Faith and Credit - Gas Utilities,Retired Nonguaranteed - Other - Other,Beginning Outstanding - Industrial Revenue,Offsets - Full Faith and Credit,"Issue, Nonguaranteed - Other - Other",Refunded - Issued,Refunded - Retired,Issue - Full Faith and Credit - Other - Other,Retired - Full Faith and Credit - Other - Other,Outstanding - Full Faith and Credit - Transit Utilities,Retired Nonguaranteed - Industrial Revenue,Beginning Outstanding - Transit Utilities,Issue - Full Faith and Credit - Transit Utilities,Retired - Full Faith and Credit - Gas Utilities,Retired - Full Faith and Credit - Transit Utilities,"Issue, Unspecified - Other - Other","Long Term Debt - Issue, Unspecified Public Purpose",Retired Unspecified - Other - Other,Beginning Outstanding - Water Utilities,Outstanding Nonguaranteed - Water Utilities,"Beginning Outstanding, Education - Other",Outstanding - Full Faith and Credit - Elementary and Secondary Education,Retired Unspecified - Elementary and Secondary Education,Retired Unspecified - Water Utilities
Red-Bank,New-Jersey,2010.45,1735.33,275.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy,Illinois,384.37,332.17,52.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glassboro,New-Jersey,1735.07,1348.68,386.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterville,Maine,2075.55,1951.32,124.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gulfport,Mississippi,2468.21,2166.03,364.56,,,,,62.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bergenfield,New-Jersey,120.25,99.68,20.57,,,,,,,,,,,226.81,202.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicopee,Massachusetts,3199.94,3025.40,220.13,,,,,45.59,,,,,,317.11,63.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South-Charleston,West-Virginia,,,185.94,681.08,287.62,61.43,61.43,579.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carson-City,Nevada,3234.35,2962.07,272.28,,,53.65,1719.28,,,,1665.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milton,Georgia,,,,242.50,225.07,,,17.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Council-Bluffs,Iowa,,,295.97,1664.61,1407.80,18.98,40.21,552.75,,,21.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampton,Virginia,,,164.04,2519.07,2272.32,5.78,26.81,410.79,,,21.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La-Grande,Oregon,,,,394.59,394.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madras,Oregon,,,,2654.09,2654.09,,,,,,,,,43.26,35.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterbury,Connecticut,,,363.70,4214.02,3980.08,,,597.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland,Maine,,,381.18,6575.75,6243.49,,,713.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson-City,Tennessee,3768.77,2438.91,1329.85,,,,1950.12,,,,1950.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easthampton,Massachusetts,999.26,912.40,86.87,,,,,,,,,,,102.61,42.27,,,576.45,,525.30,,,,,,,,,,,,,,,,,,,,,51.15,219.00,202.46,97.46,80.86,16.60,16.54
Georgetown,Delaware,,,148.35,1862.22,1710.56,,,300.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clovis,New-Mexico,542.79,505.81,36.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newark,California,394.72,371.79,22.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honolulu,Hawaii,,,1730.84,15812.75,13933.46,,,3610.13,,,,,,266.88,213.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corinth,Mississippi,10363.11,9932.56,430.49,,,,,,,,,,,153.05,150.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lufkin,Texas,,1616.17,398.19,,1755.09,52.25,,259.27,,,2907.83,,2960.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altus,Oklahoma,230.78,,230.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia,Pennsylvania,,,465.26,3233.36,3155.37,,,543.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle,Washington,,,810.79,7344.44,6699.16,,,1456.07,0.35,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San-Angelo,Texas,2189.46,2056.67,132.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee,Wisconsin,,,516.82,2195.46,2190.67,19.84,948.41,521.61,305.00,305.00,985.98,57.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nacogdoches,Texas,1479.61,1417.25,113.61,,,,,51.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mill-Valley,California,2012.97,1935.13,107.79,,,,,29.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allentown,New-Jersey,2059.15,955.49,1103.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron,Missouri,1146.54,1056.79,89.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodward,Oklahoma,3546.98,3273.99,273.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbondale,Colorado,767.03,724.12,42.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus,Nebraska,491.09,169.17,321.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami-Beach,Florida,,,540.30,11073.60,11053.42,,,255.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St.-George,Utah,1029.23,923.96,202.11,,,23.94,185.80,96.83,,,161.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scranton,Pennsylvania,2053.80,1153.47,902.53,,,,,2.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spearfish,South-Dakota,2139.16,2041.68,174.04,,,20.59,39.64,76.56,,,19.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highland,Indiana,,,,1045.93,1045.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribou,Maine,94.82,83.89,10.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marfa,Texas,,,,990.77,503.38,,,486.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anchorage,Alaska,,,992.12,5304.37,4818.81,0.22,1.10,1681.42,628.47,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bentonville,Arkansas,,,167.17,1279.72,997.89,,,449.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynchburg,Virginia,4042.89,3525.93,516.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fruitland-Park,Florida,178.94,157.04,21.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paterson,New-Jersey,882.77,794.35,88.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albuquerque,New-Mexico,2176.69,2160.94,224.45,,,114.74,599.09,208.70,20.08,,484.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beach-Park,Illinois,185.39,176.26,9.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janesville,Wisconsin,,,261.91,1778.43,1748.43,,,291.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson,Tennessee,1286.56,1200.31,86.25,,,14.66,562.50,,,,547.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grandview,Missouri,826.76,762.99,63.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melbourne,Arkansas,,,,2838.87,2838.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valdosta,Georgia,,,44.37,1561.01,1537.03,4.13,32.72,68.35,,,28.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meadow,Utah,823.17,823.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merced,California,636.08,592.68,43.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billings,Montana,1748.09,1586.22,174.79,,,5.93,87.79,12.91,,,82.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort-Myers,Florida,3928.71,3927.59,200.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenville,Mississippi,,,93.11,622.62,615.82,,,99.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland,Oregon,,,402.62,5406.86,5330.31,10.39,37.27,479.17,,,26.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellmawr,New-Jersey,838.01,613.35,224.67,,,,,,,,,,,137.34,74.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lubbock,Texas,,,487.27,4557.50,4538.52,,261.24,506.25,,,355.09,93.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte,North-Carolina,4598.62,4565.79,570.03,,,,,537.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalton,Georgia,,637.55,223.35,,860.89,131.74,,,,,3646.52,,3778.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dothan,Alabama,,,140.15,1870.92,1764.48,4.35,13.05,246.59,,,8.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermillion,South-Dakota,984.62,661.82,322.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millbrook,Alabama,1513.02,1085.93,427.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worcester,Massachusetts,3338.07,3305.60,536.38,,,,,503.92,559.18,365.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montgomery,Alabama,1818.46,1704.46,114.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West-Haven,Connecticut,562.12,,562.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Ohio,278.98,176.59,102.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalhart,Texas,426.35,402.29,24.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockford,Illinois,719.63,646.35,73.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterloo,Iowa,,,237.33,1630.21,1574.53,35.32,88.91,293.03,,,53.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hopkinsville,Kentucky,,1728.78,183.05,,1574.15,60.46,,337.68,,,3748.21,,3808.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gainesville,Florida,8097.91,7605.07,400.81,,,,37.31,37.31,,,37.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake-Wales,Florida,1088.79,996.66,123.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-Castle,Delaware,,351.26,,,,3.34,20.59,,,,17.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.26,,,,,,,
Greenville,South-Carolina,1540.13,1106.28,433.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richmond,Virginia,7006.30,6569.08,1949.78,,,,,1512.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missoula,Montana,,,77.07,2920.31,2900.01,,6.22,97.37,,,142.27,136.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,Colorado,8325.64,8210.37,976.82,,,,,861.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altoona,Pennsylvania,,,314.43,783.99,583.32,,,515.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milford,Delaware,1258.27,1147.97,110.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen-City,Texas,1154.60,1047.35,133.01,,,,,25.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oacoma,South-Dakota,1229.30,891.72,335.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Des-Plaines,Illinois,3302.55,3014.24,336.34,,,5.25,96.74,48.03,,,91.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bismarck,North-Dakota,3031.86,2998.82,295.87,,,,,262.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redding,California,3411.64,3166.72,244.93,,,1.40,39.91,,,,38.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta,Georgia,15696.59,15460.49,983.85,,,15.61,335.44,747.75,,,319.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norman,Oklahoma,3260.54,3202.14,231.76,,,,,173.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indio,California,,,72.21,1973.70,1868.29,,,177.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrian,Michigan,1018.11,929.03,89.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clayton,New-Mexico,,,,1231.63,1231.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rome,Georgia,1195.12,972.06,223.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel,Delaware,1412.53,1298.90,113.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweetwater,Texas,,,,1719.84,1242.24,,,477.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decatur,Illinois,1886.72,1790.69,188.99,,,,,92.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midland,Michigan,542.29,467.47,165.82,,,,,91.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manassas,Virginia,1605.70,1433.22,172.47,,,76.55,1148.30,,,,1071.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunswick,Georgia,,,,87.04,49.09,,,37.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talladega,Alabama,1865.04,1818.53,348.19,,,,,301.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parkersburg,West-Virginia,2095.24,1941.31,153.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason,Tennessee,71.20,57.48,13.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount-Zion,Illinois,1021.23,962.04,59.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great-Falls,Montana,,,92.38,1119.55,910.67,,,301.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kearney,Nebraska,,,543.89,1803.26,1646.94,,,700.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland,Texas,1934.16,1754.00,180.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weirton,West-Virginia,,,58.41,941.80,905.78,143.60,902.44,94.38,,,758.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandler,Oklahoma,1919.61,1678.77,240.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenview,Illinois,1315.74,1119.56,196.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davenport,Iowa,2378.58,2289.45,490.57,,,33.86,742.17,398.78,,,708.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittsburg,Kansas,1861.35,1592.07,276.91,,,14.71,431.07,7.63,,,1212.07,795.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tazewell,Virginia,1052.89,1052.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth,New-Jersey,,,109.46,1096.66,1070.57,,,135.55,,,,,,17.41,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk,Nebraska,1114.44,867.56,309.05,,,7.69,84.58,62.17,92.03,92.03,76.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fayetteville,Arkansas,,,241.01,1024.60,963.07,19.91,258.73,302.55,,,238.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West-Des-Moines,Iowa,,,371.95,2942.92,1898.44,,,1416.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardeeville,South-Carolina,,,22.40,199.92,125.31,,,97.00,,,,,,102.50,84.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rochester,New-Hampshire,3134.84,2826.56,308.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memphis,Tennessee,,,607.16,3310.26,3027.37,1.84,403.87,891.01,,,438.50,36.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goshen,Indiana,1500.89,1473.16,27.73,,,51.96,1091.21,,,,1039.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia,South-Carolina,,,0.16,5.00,4.50,,,0.66,22.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntingburg,Indiana,2338.09,2338.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appleton,Wisconsin,2261.73,2237.10,283.34,,,,,258.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San-Fernando,California,114.51,111.83,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan-City,Indiana,1919.17,1885.15,34.02,,,,532.74,,,,532.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rapid-City,South-Dakota,1919.35,1882.28,45.00,,,,,7.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yankton,South-Dakota,1617.14,1617.14,,,,64.34,338.39,,,,274.05,,,117.31,107.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bozeman,Montana,,,50.57,785.27,728.44,,,107.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oshkosh,Wisconsin,,,492.70,4769.89,4565.52,,,697.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peoria,Arizona,1316.47,508.76,807.71,,,14.95,245.54,,,,230.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San-Augustine,Texas,896.19,827.86,68.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartford,Wisconsin,2686.63,2365.17,631.60,,,140.24,189.12,310.13,,,109.74,60.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Racine,Wisconsin,2338.05,2139.03,682.09,,,,,483.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgantown,West-Virginia,6146.03,5956.17,189.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason,Texas,399.13,276.79,122.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalamazoo,Michigan,,2238.65,206.22,,2187.32,63.91,,257.55,,,4458.07,,4521.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siren,Wisconsin,,,317.83,7333.33,6186.05,,,1466.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinsville,Illinois,751.84,715.99,35.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado-Springs,Colorado,5275.71,5176.03,820.68,,,,,720.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West-Dundee,Illinois,3935.66,3653.77,603.35,,,,,321.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirit-Lake,Iowa,7555.58,5187.97,2367.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheatland,Wyoming,316.87,278.74,38.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savannah,Georgia,,,78.95,1059.70,1055.97,13.33,44.23,82.68,,,30.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haledon,New-Jersey,1893.16,1856.75,36.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarasota,Florida,1873.90,1717.49,176.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunray,Texas,579.47,537.53,41.39,,,,,,236.75,180.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providence,Rhode-Island,3953.23,3888.03,316.20,,,,,251.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troutdale,Oregon,443.30,378.79,64.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texarkana,Arkansas,1092.05,1015.88,76.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flint,Michigan,1484.88,1167.83,317.04,,,14.04,88.29,,,,74.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greensboro,North-Carolina,,,395.66,1857.04,1674.55,,,578.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakley,Kansas,486.27,427.95,58.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chula-Vista,California,,,131.22,3789.26,3323.57,18.43,2000.95,596.91,,,1982.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McAllen,Texas,1769.89,1499.03,270.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baltimore,Maryland,1272.46,1263.10,391.10,,,,,381.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willowick,Ohio,21.13,19.85,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steamboat-Springs,Colorado,3907.30,3642.58,264.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaumont,Texas,,,140.42,3207.78,3189.41,,,158.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
