city,state,grocery stores per 10k,convenience stores (no gas) per 10k,convenience stores (with gas) per 10k,full-service restaurants per 10k,supercenters and club stores per 10k
Shiprock,New-Mexico,0.82,0.41,5.73,5.07,0.16
Topeka,Kansas,2.02,0.58,3.23,6.0,0.17
Concordia,Missouri,2.45,0.61,5.2,7.65,
Bristol,Tennessee,1.3,0.39,4.89,5.93,0.13
Brea,California,1.78,0.49,1.46,8.19,0.06
Kingston,Tennessee,1.5,0.94,5.82,4.13,0.19
Dallas,Texas,1.64,1.15,2.82,6.73,0.1
Jamestown,North-Dakota,2.44,,4.4,11.7,
Traverse-City,Michigan,2.69,1.64,3.63,9.6,0.23
Decatur,Arkansas,1.23,0.35,3.9,6.42,0.3
St.-Louis,Missouri,2.76,,2.47,8.94,
Aspermont,Texas,7.09,7.09,7.09,,
Cleveland,Oklahoma,1.83,0.61,5.48,4.87,
Sioux-City,Iowa,1.86,0.29,4.51,8.24,0.29
Steeleville,Illinois,2.44,0.31,5.49,7.94,0.31
Fairmont,West-Virginia,1.77,1.06,5.82,5.12,
Springfield,Oregon,1.95,2.68,1.69,8.4,0.44
Eau-Claire,Wisconsin,1.64,0.1,4.1,7.38,0.31
Pocatello,Idaho,1.13,0.38,3.63,5.88,0.25
Long-Branch,New-Jersey,2.57,1.82,0.8,9.71,0.08
Absecon,New-Jersey,2.52,2.04,0.89,11.5,0.07
Bartlett,Illinois,2.77,0.93,1.53,6.67,0.04
La-Habra,California,1.78,0.49,1.46,8.19,0.06
Tucumcari,New-Mexico,2.23,1.12,13.4,7.82,
Logan,New-Mexico,2.23,1.12,13.4,7.82,
Belleville,Illinois,1.8,0.65,3.56,5.93,0.04
Tallahassee,Florida,1.64,0.8,4.04,7.48,0.15
San-Luis,Arizona,1.95,0.58,2.53,4.11,0.11
Biloxi,Mississippi,1.53,0.34,4.48,6.46,0.17
Truth-or-Consequences,New-Mexico,1.63,,5.71,10.6,
Oak-Grove,Missouri,1.64,0.6,2.78,6.91,0.15
Bowie,Maryland,1.7,1.6,1.66,3.24,0.02
Stamford,Texas,1.56,0.52,4.15,1.56,
Kennett,Missouri,5.06,0.32,7.91,8.54,0.32
Henderson,Nevada,1.41,0.96,2.21,5.68,0.08
Atlanta,Illinois,2.35,,3.69,7.71,
Durham,New-Hampshire,1.73,2.48,3.8,8.17,0.08
Texarkana,Texas,1.64,0.44,5.03,4.92,0.22
Ocean-City,Maryland,3.86,3.86,5.28,30.6,0.2
Amherst,Ohio,1.82,1.19,2.68,5.15,0.13
Collinsville,Illinois,1.8,0.67,3.74,7.11,0.04
Centerville,Georgia,1.6,1.07,4.81,6.03,0.15
Rock-Hill,South-Carolina,1.92,0.77,4.65,5.61,0.1
Valdese,North-Carolina,2.25,1.13,5.52,5.18,
Titusville,Florida,1.51,1.4,3.48,7.61,0.17
Columbus,Ohio,2.25,1.31,2.55,6.54,0.1
San-Bernardino,California,1.5,0.57,1.6,4.69,0.05
Tacoma,Washington,1.71,1.36,1.97,6.61,0.17
Dalton,Massachusetts,2.54,1.61,4.08,15.0,
Muskogee,Oklahoma,2.25,0.84,4.51,6.48,
Chadron,Nebraska,2.27,1.13,5.67,10.2,1.13
Carlsbad,New-Mexico,1.96,0.78,5.3,6.08,0.39
Ashland,Oregon,1.66,2.26,1.66,10.0,0.3
Aurora,Illinois,1.61,0.54,1.95,5.9,0.08
Atlantic-City,New-Jersey,2.52,2.04,0.89,11.5,0.07
Harrisburg,Illinois,2.69,0.77,5.76,6.14,
Prescott-Valley,Arizona,1.93,0.57,3.25,10.1,0.14
Riverside,California,1.6,0.44,1.51,5.45,0.05
Dallas,Georgia,0.78,0.31,2.82,4.31,0.24
Wyoming,Michigan,1.96,0.9,2.16,6.69,0.3
Youngstown,Ohio,2.5,1.42,2.66,6.66,0.04
Cleveland,Texas,2.27,1.87,4.27,4.54,0.13
Wildwood,New-Jersey,3.94,3.01,1.14,24.7,
Attleboro,Massachusetts,2.0,1.93,2.35,8.2,0.09
Swansboro,North-Carolina,1.35,0.8,3.67,5.45,0.12
Longview,Texas,1.63,1.37,7.87,7.79,0.26
Augusta,Maine,1.99,1.41,6.38,8.7,0.17
Las-Cruces,New-Mexico,0.96,0.2,2.73,5.35,0.15
Irvine,California,1.78,0.49,1.46,8.19,0.06
Somerdale,New-Jersey,3.0,1.86,1.02,5.2,0.04
Wisconsin-Rapids,Wisconsin,1.22,,4.61,8.81,0.14
Butte,Montana,1.53,,3.99,12.5,0.31
Lake-Orion,Michigan,2.44,1.35,2.43,8.18,0.18
New-Bedford,Massachusetts,2.0,1.93,2.35,8.2,0.09
South-Plainfield,New-Jersey,2.82,2.2,0.88,6.09,0.05
Akron,Ohio,1.54,0.77,2.67,6.2,0.07
New-Berlin,Illinois,1.44,0.26,3.46,8.05,0.15
Tye,Texas,0.95,0.63,6.09,6.33,0.16
Chattanooga,Tennessee,2.06,0.61,4.73,7.85,0.09
Medford,Oregon,1.66,2.26,1.66,10.0,0.3
Iowa-City,Iowa,2.07,0.32,3.67,9.8,0.08
Port-Angeles,Washington,2.42,1.99,2.13,11.0,0.14
Frederick,Maryland,1.65,0.94,2.14,5.62,0.09
Springfield,Massachusetts,1.95,1.87,2.43,7.27,0.04
Red-Bank,New-Jersey,2.57,1.82,0.8,9.71,0.08
Quincy,Illinois,1.8,,3.89,6.29,0.15
Glassboro,New-Jersey,1.86,2.52,0.95,4.59,0.11
Waterville,Maine,1.99,1.41,6.38,8.7,0.17
Harrison,Arkansas,1.36,0.55,5.46,7.37,0.27
Gulfport,Mississippi,1.53,0.34,4.48,6.46,0.17
Bergenfield,New-Jersey,2.9,1.51,1.07,8.07,0.06
Chicopee,Massachusetts,1.95,1.87,2.43,7.27,0.04
Gaston,North-Carolina,3.37,1.45,4.82,4.34,
South-Charleston,West-Virginia,2.46,0.52,5.13,6.9,0.16
Carson-City,Nevada,,,,9.87,0.37
Milton,Georgia,1.91,0.59,3.0,11.1,0.07
Council-Bluffs,Iowa,1.68,0.11,5.71,4.92,0.22
Throop,Pennsylvania,2.01,1.39,2.72,9.32,0.1
La-Grande,Oregon,3.64,1.62,2.43,8.89,0.4
Madras,Oregon,3.39,2.91,3.39,6.79,0.48
Waterbury,Connecticut,2.04,1.14,2.2,9.05,0.08
Portland,Maine,2.62,2.44,3.82,12.0,0.11
Johnson-City,Tennessee,1.72,0.09,5.07,8.16,0.26
Easthampton,Massachusetts,2.07,1.55,1.94,10.2,0.06
Georgetown,Delaware,2.45,0.98,4.62,12.8,0.16
Clovis,New-Mexico,1.33,0.44,4.89,5.78,0.22
Newark,California,2.5,0.67,1.6,8.94,0.03
Honolulu,Hawaii,2.17,1.4,1.57,8.15,0.1
Corinth,Mississippi,1.69,0.56,6.18,8.43,0.28
Lufkin,Texas,1.21,0.61,4.72,4.48,0.24
Roebuck,South-Carolina,1.78,0.8,5.38,7.59,0.22
Altus,Oklahoma,0.78,1.17,5.45,6.23,0.39
Philadelphia,Pennsylvania,3.15,1.18,1.16,6.85,0.02
Seattle,Washington,2.37,1.19,2.16,10.9,0.16
San-Angelo,Texas,1.31,1.13,6.38,7.32,0.19
Milwaukee,Wisconsin,2.13,0.7,2.75,6.36,0.03
Nacogdoches,Texas,2.25,1.13,4.66,5.95,0.16
Mill-Valley,California,2.59,0.61,1.3,11.9,0.04
Allentown,New-Jersey,2.57,1.82,0.8,9.71,0.08
Cameron,Missouri,1.43,,5.24,5.24,
Trenton,Georgia,3.1,2.48,8.69,7.45,
Woodward,Oklahoma,1.52,1.52,8.64,13.7,0.51
Carbondale,Colorado,1.5,0.19,5.62,15.1,0.19
Columbus,Nebraska,2.2,0.31,6.6,6.92,
Miami-Beach,Florida,2.51,1.2,1.98,6.76,0.06
St.-George,Utah,1.05,0.3,3.0,5.47,0.22
Scranton,Pennsylvania,2.01,1.39,2.72,9.32,0.1
Spearfish,South-Dakota,2.14,0.43,5.13,13.6,
Beacon-Falls,Connecticut,2.04,1.14,2.2,9.05,0.08
Highland,Indiana,1.67,0.61,3.56,5.86,0.08
Caribou,Maine,4.03,2.22,7.78,9.17,0.14
Marfa,Texas,1.33,2.66,3.99,11.9,
Anchorage,Alaska,,,,7.13,0.32
Bentonville,Arkansas,1.23,0.35,3.9,6.42,0.3
Levittown,New-York,4.11,1.49,1.29,9.01,0.05
Blacksburg,Virginia,1.57,1.12,4.16,8.2,0.11
Manchester,Connecticut,2.46,1.05,2.32,8.63,0.06
Fruitland-Park,Florida,1.7,1.17,3.56,5.99,0.07
Paterson,New-Jersey,4.33,1.31,0.65,5.72,0.04
Albuquerque,New-Mexico,1.35,0.18,3.01,6.96,0.18
Beach-Park,Illinois,1.71,0.54,2.46,6.47,0.06
Janesville,Wisconsin,1.38,0.5,4.08,8.16,0.13
Jackson,Tennessee,1.87,0.42,6.23,7.48,0.21
Grandview,Missouri,1.64,0.6,2.78,6.91,0.15
Melbourne,Arkansas,3.09,,5.41,5.41,
Valdosta,Georgia,1.28,1.67,6.2,8.07,0.2
Meadow,Utah,4.2,0.84,10.9,5.04,
Merced,California,2.37,1.06,2.17,4.09,0.04
Billings,Montana,1.14,0.21,4.72,7.3,0.21
Fort-Myers,Florida,1.96,0.85,2.84,8.64,0.19
Greenville,Mississippi,2.52,0.9,6.29,5.39,0.18
Hilo,Hawaii,2.09,1.97,2.55,8.29,0.06
Millinocket,Maine,2.29,2.56,5.72,7.41,0.13
Portland,Oregon,1.74,2.55,1.27,14.2,0.23
Bellmawr,New-Jersey,3.0,1.86,1.02,5.2,0.04
Lubbock,Texas,0.95,0.46,3.25,5.65,0.15
Charlotte,North-Carolina,2.14,0.96,2.84,9.31,0.12
Dalton,Georgia,2.91,1.19,6.59,7.77,0.11
Dothan,Alabama,1.65,0.1,7.01,7.21,0.31
Vermillion,South-Dakota,1.49,,6.69,11.1,
Millbrook,Alabama,1.55,0.39,6.72,4.14,0.13
Worcester,Massachusetts,1.73,1.79,2.22,7.27,0.05
Montgomery,Alabama,1.68,0.35,4.78,6.37,0.18
West-Haven,Connecticut,2.04,1.14,2.2,9.05,0.08
Brooklyn,Ohio,2.33,1.68,2.26,6.88,0.05
Dalhart,Texas,,,4.89,17.9,
Clinton,Maryland,1.7,1.6,1.66,3.24,0.02
Rockford,Illinois,1.78,0.54,3.49,7.42,0.1
Waterloo,Iowa,1.65,0.39,4.64,7.39,0.24
Hopkinsville,Kentucky,2.22,0.25,1.97,4.57,0.25
Gainesville,Florida,1.88,1.25,4.8,6.52,0.04
Lake-Wales,Florida,1.64,1.82,3.75,4.9,0.1
New-Castle,Delaware,1.56,1.35,2.13,6.4,0.06
Greenville,South-Carolina,2.01,0.54,4.63,8.96,0.14
Missoula,Montana,1.8,0.28,3.6,9.18,0.19
Denver,Colorado,1.8,1.13,2.4,11.3,0.1
Altoona,Pennsylvania,1.99,0.72,3.51,6.38,0.16
Milford,Delaware,2.45,0.98,4.62,12.8,0.16
Queen-City,Texas,2.39,1.02,5.46,6.14,0.34
Oacoma,South-Dakota,10.3,,23.1,7.73,
Des-Plaines,Illinois,2.77,0.93,1.53,6.67,0.04
Bismarck,North-Dakota,0.78,,3.88,6.21,0.13
Trinity,Texas,2.12,0.71,5.66,4.95,
Upper-Marlboro,Maryland,1.7,1.6,1.66,3.24,0.02
Redding,California,2.35,0.39,3.85,6.42,0.06
Atlanta,Georgia,1.91,0.59,3.0,11.1,0.07
Norman,Oklahoma,2.13,0.72,2.85,6.84,0.17
Indio,California,1.6,0.44,1.51,5.45,0.05
Topsham,Maine,1.65,1.93,4.4,10.1,
Adrian,Michigan,1.97,0.79,2.96,6.81,0.2
Clayton,New-Mexico,2.66,,5.32,18.6,
Rome,Georgia,2.1,1.15,6.5,6.71,0.31
Laurel,Delaware,2.45,0.98,4.62,12.8,0.16
Sweetwater,Texas,0.69,0.69,8.25,8.25,0.69
Decatur,Illinois,1.2,0.92,3.59,5.71,0.28
Midland,Michigan,1.94,2.3,2.66,5.21,0.12
Manassas,Virginia,1.78,1.2,2.56,5.48,0.11
Brunswick,Georgia,3.08,0.94,6.03,12.9,0.13
Talladega,Alabama,1.0,1.12,8.73,4.99,0.12
Parkersburg,West-Virginia,1.74,0.93,5.23,6.74,0.35
Mason,Tennessee,1.56,0.87,5.03,3.82,
Mount-Zion,Illinois,1.2,0.92,3.59,5.71,0.28
Great-Falls,Montana,1.71,0.12,3.42,9.29,0.24
Kearney,Nebraska,1.56,0.45,6.9,8.68,0.22
Portland,Texas,1.32,1.61,5.56,6.73,0.29
Weirton,West-Virginia,2.65,2.32,4.64,5.64,
Chandler,Oklahoma,1.55,0.62,4.97,5.28,
Glenview,Illinois,2.77,0.93,1.53,6.67,0.04
Davenport,Iowa,1.48,0.8,4.56,7.76,0.18
Pittsburg,Kansas,1.55,1.03,4.65,8.52,0.26
Tazewell,Virginia,2.06,0.46,9.83,3.43,0.69
Elizabeth,New-Jersey,2.97,1.8,0.75,7.38,0.04
Norfolk,Nebraska,2.35,0.29,4.99,7.93,0.29
Fayetteville,Arkansas,1.29,0.21,3.41,9.8,0.21
West-Des-Moines,Iowa,1.51,0.19,3.78,7.57,0.17
Hardeeville,South-Carolina,1.83,2.28,10.9,7.76,0.46
The-Dalles,Oregon,4.64,1.69,2.53,11.3,0.84
Rochester,New-Hampshire,1.73,2.48,3.8,8.17,0.08
Memphis,Tennessee,2.05,0.54,4.25,6.12,0.14
Goshen,Indiana,1.82,0.15,3.19,6.83,0.2
Columbia,South-Carolina,1.48,0.39,4.05,7.04,0.08
Huntingburg,Indiana,2.67,0.24,4.37,10.6,0.24
Lahaina,Hawaii,2.9,1.84,2.12,13.4,0.07
Appleton,Wisconsin,1.67,0.06,4.09,8.58,0.12
San-Fernando,California,2.12,0.58,1.23,7.15,0.03
Michigan-City,Indiana,2.0,0.45,4.08,8.07,0.09
Rapid-City,South-Dakota,1.66,0.31,5.61,8.52,0.21
Mentone,California,1.5,0.57,1.6,4.69,0.05
Yankton,South-Dakota,0.92,0.46,6.46,11.0,
Bozeman,Montana,2.29,,3.78,12.2,0.11
Oshkosh,Wisconsin,0.74,0.19,3.47,7.5,0.06
Peoria,Arizona,1.3,0.57,1.99,5.86,0.16
Melville,New-York,3.4,1.44,1.69,8.15,0.06
San-Augustine,Texas,1.16,1.16,5.8,2.32,
Hartford,Wisconsin,1.25,0.16,3.83,7.11,0.08
Racine,Wisconsin,1.86,0.35,3.52,6.28,0.1
Morgantown,West-Virginia,1.37,1.03,4.7,7.33,0.23
Mason,Texas,5.15,,12.8,10.3,
Kalamazoo,Michigan,1.68,1.84,2.62,7.24,0.2
Siren,Wisconsin,3.68,0.61,4.91,16.5,
Martinsville,Illinois,2.38,0.59,5.35,11.2,
Colorado-Springs,Colorado,0.97,0.34,2.87,6.64,0.15
West-Dundee,Illinois,1.61,0.54,1.95,5.9,0.08
Spirit-Lake,Iowa,2.4,0.6,6.0,23.4,0.6
Wheatland,Wyoming,3.58,1.19,8.35,14.3,
Savannah,Georgia,2.13,1.57,4.35,10.7,0.16
Haledon,New-Jersey,4.33,1.31,0.65,5.72,0.04
Sarasota,Florida,1.81,1.27,2.26,9.87,0.08
Sunray,Texas,2.01,0.5,5.02,7.03,
Providence,Rhode-Island,2.06,1.5,2.1,7.96,0.02
Troutdale,Oregon,1.74,2.55,1.27,14.2,0.23
Texarkana,Arkansas,2.34,0.93,4.44,5.14,0.23
Flint,Michigan,2.51,1.98,3.04,5.67,0.12
Greensboro,North-Carolina,2.16,1.23,3.92,8.96,0.11
Oakley,Kansas,3.8,,7.61,30.4,
Chula-Vista,California,1.94,0.77,1.65,7.56,0.06
McAllen,Texas,1.12,0.95,3.4,4.78,0.09
Willowick,Ohio,1.37,1.29,3.09,7.38,0.17
Steamboat-Springs,Colorado,2.24,0.45,6.73,27.8,
Beaumont,Texas,1.94,1.57,5.65,5.49,0.17
Edmond,Oklahoma,2.79,0.41,2.33,8.1,0.17
Okawville,Illinois,6.11,0.68,6.79,7.46,
Alpena,Michigan,3.7,1.35,5.72,7.41,0.34
North-Haven,Connecticut,2.04,1.14,2.2,9.05,0.08
Twin-Falls,Idaho,2.75,0.41,4.8,7.14,0.27
Covington,Kentucky,1.72,0.96,3.32,6.9,
Windsor,Colorado,1.03,0.04,2.8,5.77,0.12
New-Haven,Michigan,2.1,1.62,2.28,7.15,0.16
Enid,Oklahoma,1.57,2.09,4.52,6.09,0.17
Pittsburgh,Pennsylvania,1.72,1.09,2.44,8.15,0.09
Bangor,Maine,2.29,2.56,5.72,7.41,0.13
Springfield,Missouri,1.33,0.15,3.6,8.11,0.23
Woonsocket,Rhode-Island,2.06,1.5,2.1,7.96,0.02
Marianna,Arkansas,0.93,,,2.78,
Coleman,Wisconsin,2.83,0.24,7.54,11.7,
Jackson,Mississippi,1.69,0.72,5.26,4.37,0.12
Chillicothe,Ohio,2.37,1.06,4.09,4.88,0.26
California,Maryland,1.6,1.0,2.79,5.59,0.1
Bedford,Virginia,1.05,1.05,2.7,4.21,0.15
Covington,Tennessee,1.56,0.87,5.03,3.82,
Buffalo,New-York,2.59,1.37,2.5,8.11,0.05
Evansville,Indiana,1.66,0.51,3.15,7.84,0.11
Alton,Texas,1.12,0.95,3.4,4.78,0.09
Arlington-Heights,Illinois,2.77,0.93,1.53,6.67,0.04
Howell,Michigan,1.37,0.93,2.03,5.47,0.22
El-Campo,Texas,1.96,2.46,7.37,5.65,
Cranston,Rhode-Island,2.06,1.5,2.1,7.96,0.02
Sayreville,New-Jersey,2.82,2.2,0.88,6.09,0.05
Sedona,Arizona,1.57,0.47,5.65,12.7,0.08
West-Park,Florida,2.05,1.53,2.24,8.0,0.09
Mobile,Alabama,1.51,0.45,6.09,5.22,0.15
Oak-Grove,Kentucky,2.22,0.25,1.97,4.57,0.25
Chubbuck,Idaho,1.13,0.38,3.63,5.88,0.25
San-Diego,California,1.94,0.77,1.65,7.56,0.06
Lemont,Illinois,2.77,0.93,1.53,6.67,0.04
Huntsville,Alabama,1.12,0.51,5.66,6.47,0.29
Lake-City,South-Carolina,2.81,1.06,7.44,7.14,0.15
Bakersfield,California,2.41,0.8,2.1,4.6,0.04
Lancaster,Pennsylvania,2.13,0.62,2.63,5.94,0.08
Jersey-City,New-Jersey,4.34,2.03,0.49,6.23,0.03
Victorville,California,1.5,0.57,1.6,4.69,0.05
El-Paso,Texas,1.59,0.56,2.96,6.08,0.15
Boonville,Missouri,1.71,1.14,8.54,6.27,
Salem,Oregon,1.71,1.61,1.52,6.68,0.29
Sault-Ste.-Marie,Michigan,3.34,1.03,5.65,8.73,
New-Brunswick,New-Jersey,2.82,2.2,0.88,6.09,0.05
Sealy,Texas,1.51,0.75,4.9,4.15,
Minneapolis,Minnesota,1.79,0.69,2.5,7.13,0.12
Fair-Haven,New-Jersey,2.57,1.82,0.8,9.71,0.08
Reno,Nevada,1.38,0.99,2.69,6.99,0.12
New-Castle,Pennsylvania,1.65,0.99,2.98,6.5,0.11
Albany,Georgia,2.3,1.05,7.32,7.11,0.21
Visalia,California,2.84,0.76,2.12,5.13,0.07
Hartford,Connecticut,2.46,1.05,2.32,8.63,0.06
Windsor,Missouri,1.34,,7.61,9.4,0.45
New-Haven,Connecticut,2.04,1.14,2.2,9.05,0.08
Ocala,Florida,1.57,0.96,4.66,4.69,0.12
Fort-Myers-Beach,Florida,1.96,0.85,2.84,8.64,0.19
New-York,New-York,7.14,0.61,0.14,24.3,0.01
Williamsport,Ohio,1.48,1.48,3.69,3.88,
Blackwell,Oklahoma,2.63,0.44,5.69,7.22,0.22
Fortuna,California,3.58,0.47,3.65,9.95,0.08
Miami,Florida,2.51,1.2,1.98,6.76,0.06
Herrin,Illinois,2.18,0.16,4.52,7.32,0.16
Grand-Forks,North-Dakota,1.36,,4.39,7.42,0.3
Macon,Georgia,2.52,1.49,8.01,7.82,0.19
Plymouth,Connecticut,2.29,0.64,2.98,11.0,0.05
Odessa,Texas,1.16,0.31,4.71,4.95,0.23
Edgewater,Maryland,1.55,1.1,2.27,5.82,0.12
Jonesboro,Arkansas,2.42,0.22,4.52,8.16,0.33
Fayetteville,North-Carolina,1.55,0.42,4.82,5.73,0.13
Callaway,Florida,1.83,1.04,5.07,9.17,0.18
Fresno,California,2.4,1.21,2.12,5.77,0.04
Battle-Creek,Michigan,1.91,1.61,4.03,6.01,0.22
West-Jordan,Utah,1.45,0.47,2.45,5.55,0.16
Greenville,North-Carolina,1.91,0.85,4.54,6.7,0.13
Fort-Wayne,Indiana,1.63,0.2,3.33,6.65,0.2
Niantic,Connecticut,1.82,1.36,3.22,10.0,0.11
Houston,Texas,1.88,1.35,3.38,5.88,0.1
Nampa,Idaho,1.18,0.28,2.35,4.37,0.28
Santa-Fe,New-Mexico,1.55,,2.25,11.5,0.07
Chicago,Illinois,2.77,0.93,1.53,6.67,0.04
Ironton,Ohio,1.6,0.64,4.63,3.04,0.16
Alexandria,Kentucky,1.73,1.04,3.46,8.99,0.12
Harlingen,Texas,1.22,0.81,3.46,5.79,0.13
Jefferson-City,Missouri,1.5,0.41,5.44,7.07,0.14
Ventura,California,1.97,0.57,1.69,7.28,0.05
St.-Cloud,Minnesota,1.99,0.27,3.35,8.22,0.07
Cedar-Rapids,Iowa,1.31,0.15,4.28,7.1,0.24
Kane,Pennsylvania,2.97,0.23,6.17,8.92,0.23
Champaign,Illinois,1.71,0.41,3.47,7.98,0.16
Farmington,New-Mexico,0.82,0.41,5.73,5.07,0.16
Bend,Oregon,2.21,0.98,2.02,12.4,0.33
Virginia-Beach,Virginia,,,,,
Eagar,Arizona,1.58,0.57,4.74,2.87,
Flora,Illinois,2.91,,3.64,8.0,
Panama-City,Florida,1.83,1.04,5.07,9.17,0.18
Lancaster,New-Hampshire,4.33,0.93,9.28,12.6,
Marquette,Michigan,2.3,1.53,4.44,7.96,
Coos-Bay,Oregon,3.47,2.05,1.58,11.3,0.63
Cumberland,Maryland,2.62,0.69,2.34,7.16,
Rancho-Mirage,California,1.6,0.44,1.51,5.45,0.05
Garden-City,Kansas,1.23,,2.45,5.15,0.25
Hermleigh,Texas,1.25,,6.88,8.76,
Alexandria,Louisiana,,,,4.21,0.23
Dover,New-Jersey,2.12,1.13,0.88,8.8,0.1
Santa-Clarita,California,2.12,0.58,1.23,7.15,0.03
Heyworth,Illinois,1.77,0.18,4.52,7.58,0.24
Southaven,Mississippi,1.07,0.4,3.89,6.44,0.27
Spokane,Washington,1.8,0.61,2.59,6.16,0.18
Roanoke,Virginia,1.33,0.78,3.33,5.1,
Athens,Georgia,2.03,0.44,4.77,10.0,0.18
Neptune-City,New-Jersey,2.57,1.82,0.8,9.71,0.08
Winchester,Virginia,1.38,0.14,4.95,3.99,0.28
Wausau,Wisconsin,2.47,,4.16,8.17,0.23
Eufaula,Alabama,2.04,0.68,6.45,3.73,
Santa-Maria,California,2.61,0.75,1.84,9.65,0.05
Spring-Hill,Florida,1.3,0.83,2.43,5.45,0.18
Cicero,New-York,2.56,1.08,2.74,8.17,0.11
Richland,Missouri,1.13,0.23,5.19,6.77,0.23
Newport-News,Virginia,,,2.65,7.69,0.17
Pine-Hill,New-Jersey,3.0,1.86,1.02,5.2,0.04
Dunbar,West-Virginia,2.46,0.52,5.13,6.9,0.16
Lafayette,Louisiana,2.49,,,,
Wilton,Connecticut,2.5,0.85,1.7,9.67,0.06
Dubuque,Iowa,1.19,0.43,5.31,9.75,0.11
Charleston,West-Virginia,2.46,0.52,5.13,6.9,0.16
Shreveport,Louisiana,1.51,1.03,,,
West-Plains,Missouri,2.59,0.52,8.03,6.74,0.26
Abilene,Texas,0.95,0.63,6.09,6.33,0.16
Bridgeport,West-Virginia,1.9,1.17,4.83,8.06,0.29
Clementon,New-Jersey,3.0,1.86,1.02,5.2,0.04
Beaumont,California,1.6,0.44,1.51,5.45,0.05
Dayton,Ohio,1.52,1.39,2.31,5.76,0.15
Burnsville,North-Carolina,2.72,0.54,3.26,3.81,
Manchester,New-Hampshire,1.82,1.65,2.67,8.23,0.12
Harahan,Louisiana,2.43,,,7.59,0.16
Bettendorf,Iowa,1.48,0.8,4.56,7.76,0.18
Dayton,Kentucky,1.73,1.04,3.46,8.99,0.12
New-Iberia,Louisiana,2.94,,,3.6,0.13
Charleston,Illinois,0.96,0.38,4.21,7.65,0.38
Canyon,Texas,0.53,0.18,3.62,4.5,0.18
Logan,Utah,1.28,0.18,2.2,3.12,0.28
Dodge-City,Kansas,1.51,0.3,4.53,6.95,0.3
Hephzibah,Georgia,1.87,0.71,5.97,6.68,0.1
Osseo,Wisconsin,2.16,1.08,5.04,8.64,
Boulder,Colorado,1.56,0.38,2.35,9.94,0.1
Anaheim,California,1.78,0.49,1.46,8.19,0.06
Kingsport,Tennessee,1.3,0.39,4.89,5.93,0.13
Fairview-Heights,Illinois,1.8,0.65,3.56,5.93,0.04
Dunn-Loring,Virginia,1.81,1.29,1.62,6.9,0.03
Austin,Indiana,2.11,,5.49,4.64,0.42
Riverhead,New-York,3.4,1.44,1.69,8.15,0.06
Brawley,California,2.49,0.62,3.23,4.85,0.06
Center,Texas,2.28,0.76,3.42,4.18,
Murdo,South-Dakota,19.1,,47.7,28.6,
Big-Lake,Texas,3.31,,6.62,9.94,
Clarkston,Washington,1.9,0.47,1.42,7.59,0.47
Port-Charlotte,Florida,1.51,0.59,2.82,6.62,0.13
Marion,Illinois,2.18,0.16,4.52,7.32,0.16
Marina,California,2.82,0.91,2.0,9.24,0.05
Westbrook,Maine,2.62,2.44,3.82,12.0,0.11
Escanaba,Michigan,4.56,1.61,4.29,9.11,
Rayville,Louisiana,1.47,,4.4,,
Bargersville,Indiana,1.03,0.37,2.65,6.54,0.29
Knoxville,Tennessee,1.75,1.37,3.82,7.39,0.12
Eureka,California,3.58,0.47,3.65,9.95,0.08
Roswell,New-Mexico,1.44,0.32,4.16,7.85,0.32
Casper,Wyoming,1.25,0.28,4.32,7.66,0.28
Elizabethtown,Kentucky,1.43,0.51,4.6,5.82,0.2
Bloomfield,Indiana,2.14,0.31,5.82,6.43,0.31
Monroe,Louisiana,1.4,,,5.62,0.2
Sedalia,Missouri,2.21,,5.64,10.0,0.25
Houghton,Michigan,3.15,1.14,4.58,11.4,
Waynesville,North-Carolina,1.95,1.24,6.56,9.75,
International-Falls,Minnesota,2.98,0.75,11.1,11.1,
Harrisonburg,Virginia,2.04,1.63,2.99,4.48,0.14
